Name,BSE Code,NSE Code,ISIN Code,Sector,Industry Group,Industry
Alkem Lab,539523,ALKEM,INE540L01014,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Alkosign,543453,,INE0KA601012,FMCG (Consumer Staples),Household Products,Stationary
Alkyl Amines,506767,ALKYLAMINE,INE150B01039,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
All E Tech,,ALLETEC,INE0M2X01012,Information Technology,IT - Software,Computers - Software & Consulting
All Time Plastic,544479,ALLTIME,INE0GV601021,Consumer Durables & Retail,Consumer Durables,Houseware
Allcargo Logist.,532749,ALLCARGO,INE418H01029,Industrials,Transport Services,Logistics Solution Provider
Allcargo Termi,543954,ATL,INE0NN701020,Construction & Infrastructure,Transport Infrastructure,Port & Port services
Alldigi Tech,532633,ALLDIGI,INE835G01018,Industrials,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Alliance Integ.,534064,,INE123D01024,Industrials,Industrial Products,Iron & Steel Products
Allied Blenders,544203,ABDL,INE552Z01027,FMCG (Consumer Staples),Beverages,Breweries & Distilleries
Allied Digital,532875,ADSL,INE102I01027,Information Technology,IT - Services,IT Enabled Services
Almondz Global,531400,ALMONDZ,INE326B01035,Financial Services,Capital Markets,Stockbroking & Allied
Alok Industries,521070,ALOKINDS,INE270A01029,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Alpa Laboratorie,532878,ALPA,INE385I01010,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Alpex Solar,,ALPEXSOLAR,INE0R4701017,Industrials,Electrical Equipment,Other Electrical Equipment
Alphageo (India),526397,ALPHAGEO,INE137C01018,Energy (Oil & Gas),Oil,Offshore Support Solution Drilling
Alphalogic Indu,543937,,INE0NZF01019,Industrials,Industrial Products,Other Industrial Products
Alphalogic Tech.,542770,,INE08E401029,Information Technology,IT - Software,Computers - Software & Consulting
Alpine Housing,526519,,INE840D01015,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Alstone Textiles,539277,,INE184S01024,Consumer Durables & Retail,Retailing,Distributors
Altius Telecom,543225,,INE0BWS23018,Telecom,Telecom - Services,Telecom - Infrastructure
Alufluoride,524634,,INE058F01019,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Aluwind Infra,,ALUWIND,INE0STM01017,Industrials,Industrial Products,"Aluminium, Copper & Zinc Products"
Amagi Media Labs,544679,AMAGI,INE121R01077,Information Technology,IT - Services,IT Enabled Services
Amal,506597,,INE841D01013,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Amalgamated Elec,501622,,INE492N01022,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Amanaya Ventures,543804,,INE0G1V01016,Metals & Mining,Non - Ferrous Metals,Precious Metals
Amanta Healthcar,544502,AMANTA,INE084K01015,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Amara Raja Ener.,500008,ARE&M,INE885A01032,Automobile,Auto Components,Auto Components & Equipments
Amarjothi Spg.,521097,,INE484D01012,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Amarnath Sec.,538465,,INE745P01010,Financial Services,Finance,Non Banking Financial Company (NBFC)
Amba Enterprises,539196,,INE829P01020,Industrials,Electrical Equipment,Other Electrical Equipment
Ambalal Sarabhai,500009,,INE432A01017,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Ambani Orgochem,,AMBANIORGO,INE00C501018,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Ambar Protein,519471,,INE072V01017,FMCG (Consumer Staples),Agricultural Food & other Products,Edible Oil
Ambassador Intra,542524,,INE342U01016,Industrials,Commercial Services & Supplies,Trading & Distributors
Amber Enterp.,540902,AMBER,INE371P01015,Consumer Durables & Retail,Consumer Durables,Household Appliances
Ambey Laborator.,,AMBEY,INE0M3I01029,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Ambica Agarbat.,532335,AMBICAAGAR,INE792B01012,FMCG (Consumer Staples),Household Products,Household Products
Ambika Cotton,531978,AMBIKCO,INE540G01014,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Ambitious Plasto,526439,,INE267C01013,Industrials,Commercial Services & Supplies,Trading & Distributors
Ambo Agritec,543678,,INE0N6V01016,FMCG (Consumer Staples),Agricultural Food & other Products,Edible Oil
Ambuja Cements,500425,AMBUJACEM,INE079A01024,Construction & Infrastructure,Cement & Cement Products,Cement & Cement Products
Amco India,530133,,INE924B01011,Industrials,Industrial Products,"Aluminium, Copper & Zinc Products"
AMD Industries,532828,AMDIND,INE005I01014,Industrials,Industrial Products,Packaging
Ameenji Rubber,544555,,INE14QA01016,Industrials,Industrial Products,Rubber
Amerise BioScie,531681,,INE673C01020,Industrials,Industrial Products,Plastic Products - Industrial
Ameya Precision,,AMEYA,INE0KT901015,Industrials,Industrial Products,Other Industrial Products
Amforge Inds.,513117,,INE991A01020,Automobile,Auto Components,Auto Components & Equipments
Amic Forging,544037,,INE0P9J01013,Industrials,Industrial Products,Castings & Forgings
Amin Tannery,541771,,INE572Z01017,Consumer Durables & Retail,Consumer Durables,Leather And Leather Products
Amines & Plast.,506248,AMNPLST,INE275D01022,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Amit Internation,531300,,INE053D01015,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Amit Securities,531557,,INE137E01014,Financial Services,Finance,Non Banking Financial Company (NBFC)
AMJ Land Holdin.,500343,AMJLAND,INE606A01024,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
